Posted date,Job title,Company name,Location,Skills,Links,Salaries,Requirements
10 days ago,Product Owner (Mid- Senior Level),Fixed Solutions -,"Cairo, Egypt ",Full TimeHybridExperienced · 3 - 5 Yrs of Exp · males_only · IT/Software Development · Project/Program Management · Requirements Gathering · Information Security · Technical Documentation · Problem Solving · Agile Methodologies · Analytical Thinking · Product Management · SDLC,/jobs/p/cdtkd7doe1lz-product-owner-mid-senior-level-fixed-solutions-cairo-egypt,Not Mentioned,"Education: | Bachelor’s degree in Computer Science. | Product Management certification (e.g., CSPO, PSPO) is a plus. | Skills and Experience: | 3+ years of proven experience as a Product Owner or in a similar role within IT software projects. | Strong understanding of software development life cycles and Agile methodologies (Scrum/Kanban). | Demonstrated experience managing product backlogs, defining user stories, and delivering product increments in collaboration with cross-functional teams. | Proficiency in using tools such as Jira, Confluence, Miro, or similar product management platforms. | Solid analytical skills with the ability to interpret data and translate insights into actionable product decisions. | Excellent communication and presentation skills, with experience engaging both technical and non-technical stakeholders. | Ability to manage priorities, make data-informed trade-offs, and deliver high-value outcomes under pressure. | Experience in customer-facing software products or enterprise solutions is preferred. | Fluent in English, spoken and written."
1 month ago,Audit Manager,Tasaheel Finance -,"Cairo, Egypt ",Full TimeOn-siteManager · 5 - 7 Yrs of Exp · Banking · Quality · Analyst/Research · Audit Management · Risk Assessment · Internal Controls · Team Leadership · Report Writing · Regulatory Compliance · Financial Analysis,/jobs/p/xe6ccvoufqtj-audit-manager-tasaheel-finance-cairo-egypt,Not Mentioned,"Qualification & Requirements | Bachelor’s degree in Accounting, Finance or another related field | 5-7 years of experience in external or internal auditing | Prefer get certifications such as CIA, CPA, CISA, etc. | Excellent communication skills | Innovative mindset: Open for new ways of auditing, including ‘agile’, ‘data analytics, and ‘process mining’ | Technical expertise, objectivity, and unquestioned integrity are essential elements of this position | Ability to communicate complex information in a clear and concise, manner to a financial and non-financial audience | Prefer to working for big 4 companies ( PWC – EY – Deloitte – KPMG )"
25 days ago,Policy Support Unit Director,Expolink -,"Cairo, Egypt ",Full TimeOn-siteSenior Management · 15 - 20 Yrs of Exp · Analyst/Research · C-Level Executive/GM/Director · Economics · Export Development · economic policy · public policy · governments,/jobs/p/xzguekgr9wtt-policy-support-unit-director-expolink-cairo-egypt,Not Mentioned,"Master’s degree (Ph.D. preferred) in Economics or a related field (development economics, trade, public policy, or industrial economics) | Minimum 15 years’ experience in economic policy, export development, or development economics. | Proven expertise in policy-oriented research, trade competitiveness analysis, and export development strategies. | Demonstrated experience working with SMEs and mid-sized exporters across manufacturing and service sectors. | Strong track record of engagement with government entities, chambers, and international organizations. | Experience in designing and managing export development programs, market intelligence initiatives, and capacity-building activities. | Proven ability to lead multidisciplinary teams and manage complex stakeholder environments. | Excellent communication and policy advocacy skills. | Fluency in writing skills English & Arabic (other languages is a plus)."
2 months ago,International Marketing Researcher (Export Department),Yemeni Cafe Abdelmaboud  -,"Salam City, Cairo, Egypt ",Full TimeOn-siteExperienced · 3 - 7 Yrs of Exp · Hospitality/Hotels/Food Services · Marketing/PR/Advertising · Analyst/Research · Market Research · Research Analysis · International Trade,/jobs/p/pczy57urzlmc-international-marketing-researcher-export-department-yemeni-cafe-abdelmaboud-cairo-egypt,Not Mentioned,"Bachelor’s degree in Marketing, Economics, Statistics, or a related field. | Minimum 3 years of experience in international market research, or consumer insights Worldwide. | Strong analytical and quantitative skills with the ability to interpret large datasets. | Proficiency in Microsoft Excel, Power BI, or other statistical software. | Excellent communication and presentation skills with the ability to convey complex data clearly. | Detail-oriented, organized, and capable of managing multiple research projects simultaneously. | Strong business acumen and understanding of marketing principles. | Experience in manufacturing food industry is a significant advantage but not mandatory."
2 months ago,Social Media Specialist - Instagram & LinkedIn,Dental Network -,"Rotterdam, Netherlands ",Full TimePart TimeRemoteExperienced · 2 - 20 Yrs of Exp · Creative/Design/Art · Writing/Editorial · Analyst/Research · Social Media · instagram · linkedin · Design · Canva · Social Analytics,/jobs/p/pdqmlijtd7cs-social-media-specialist-instagram-linkedin-dental-network-rotterdam-netherlands,Not Mentioned,"Requirements: | Proven experience in Instagram and LinkedIn content management | Strong visual design skills (Canva, Adobe, Figma or similar tools) | Strong copywriting skills for social posts | Hands-on experience with Instagram and LinkedIn analytics | Ability to interpret data and optimize content accordingly | Ability to produce content at high volume and high consistency | Structured, creative, and performance-driven working style | Excellent communication skills and fluent in English (spoken and written) | Own laptop required | Comfortable working fully remote"
25 days ago,Quality Control (QC) Engineer,IPMagix  -,"Zamalek, Cairo, Egypt ",Full TimeHybridExperienced · 2 - 4 Yrs of Exp · IT/Software Development · Quality Control · Software Testing · Manual Testing · Automated Testing · Defect Tracking · Analytical Thinking · Attention to Detail · SDLC Knowledge · Problem Solving,/jobs/p/eogdqs8if1qc-quality-control-qc-engineer-ipmagix-cairo-egypt,Not Mentioned,"Required Qualifications & Skills: | Bachelor’s degree in computer science, engineering, or a related field. | 2-4 years of proven experience in manual software testing. | Solid understanding of SDLC & STLCand agile methodologies (Scrum/Kanban). | Proven ability to design clear, effective test cases and manage bug lifecycles with tools likeJira or Azure DevOps. | Hands-on experience inAPI testing (Postman)and basicSQLfor database verification. | Strong analytical, problem-solving, and communication skills. | A significant plus:practical experience or a strong desire to learntest automationusing frameworks likeSelenium, Cypress, or Playwright."
1 month ago,Tax Accountant,ABCO Group  -,"Bourj Alarab, Alexandria, Egypt ",Full TimeOn-siteExperienced · 3 - 5 Yrs of Exp · males_only · Accounting/Finance · Analyst/Research · Tax Preparation · Financial Analysis · Tax Compliance · Accounting · ERP Systems · Audit Support · Excel · Attention to Detail,/jobs/p/m7rrcbpotveu-tax-accountant-abco-group-alexandria-egypt,Not Mentioned,"Bachelor’s degree in Accounting, Finance, or a related field. | 3-5 years of proven experience as a Tax Accountant or in a similar accounting role. | Strong understanding of local and international tax regulations, especially in manufacturing and export industries. | Demonstrated experience with tax preparation, filing, and compliance processes. | Proficiency in accounting software and Microsoft Office Suite, particularly Excel. | Excellent analytical and problem-solving skills with keen attention to detail. | Strong organizational and time management abilities to handle multiple priorities. | Effective communication skills for collaboration with internal teams and external stakeholders. | Ability to work independently and as part of a team in an on-site environment. | High level of integrity and commitment to ethical financial practices."
26 days ago,Senior Full Stack Developer| Remote,OrobaSoft -,"Cairo, Egypt ",Full TimeRemoteExperienced · 4 - 5 Yrs of Exp · males_only · IT/Software Development · Engineering - Telecom/Technology · Full Stack · Software Development · Microservice Architecture · ASP.NET Core · JavaScript · Front-End Development · HTML · CSS,/jobs/p/gohw71eskjiv-senior-full-stack-developer-remote-orobasoft-cairo-egypt,Not Mentioned,"Proven experience as a Senior Full Stack Developer or similar role | Experience developing web applications | Familiarity with common stacks | Profound grasp of object-oriented programming (OOP) and computer science fundamentals. | Familiarity with web servers and UI/UX design | Excellent communication and teamwork skills | Great attention to detail | Organizational skills | An analytical mind | Strong experience in developing web applications using ASP.NET Core with Microservice. | Proficiency in C#, HTML, CSS, JavaScript/jQuery, and Entity Framework. | Experience with front-end frameworks like ASP.NET Razor. | Knowledge of database technologies such as SQL and NoSQL. | Experience with version control systems (e.g., Git) | Understanding of software development methodologies and best practices | Strong problem-solving skills and attention to detail | Excellent communication and collaboration abilities | Bachelor's degree in Computer Science, Engineering, or a related field (or equivalent work experience) | 4-5 years of experience in software development with a focus on ASP.NET"""
2 months ago,Quality Control Manager in a medical devices company,ELHODA Trade & Supples -,"Badr City, Cairo, Egypt ",Full TimeOn-siteManager · 10 - 13 Yrs of Exp · Medical/Healthcare · Quality · Analyst/Research · Analysis · ISO · quality · Quality Control,/jobs/p/y6aaxlcvalsd-quality-control-manager-in-a-medical-devices-company-elhoda-trade-supples-cairo-egypt,Not Mentioned,BSc/ Ba in chemistry or business administration or relevant field. | Proven experience as a quality manager for at least 10 years. | Conscientious and responsible. | A keen eye for detail and a results-driven approach. | Outstanding communication skills. | Excellent organizational and leadership skills. | Proficient in MS Office. | In-depth understanding of quality control procedures and relevant legal standards. | Excellent math abilities and working knowledge of data analysis/statistical methods. | Certification of quality control is a strong advantage (ISO 9000 etc.)
2 months ago,Senior Business Excellence,Multi M Group  -,"Qalubia, Egypt ",Full TimeOn-siteExperienced · 4 - 6 Yrs of Exp · Business Development · Operations/Management · Analyst/Research · Business Process Improvement · Change Management · Continuous Improvement · Analytical Thinking · Project Management · Stakeholder Engagement,/jobs/p/lstuvhatapae-senior-business-excellence-multi-m-group-qalubia-egypt,Not Mentioned,"Bachelor’s degree in Industrial Engineering, Business Administration, Quality Management, or a related field. | 5–6 years of experience in Business Excellence roles. | Professional certifications are a strong advantage (Lean Six Sigma Green Belt or Black Belt preferred). | Proven track record of delivering cross-departmental improvement projects with measurable results. | Experience leading organizational change initiatives and cultural transformation programs. | Hands-on experience in KPI management, performance dashboards, and data-driven decision-making."
10 days ago,Planning Supervisor,Pyramid Poultry -,"10th of Ramadan City, Sharqia, Egypt ",Full TimeOn-siteManager · 5+ Yrs of Exp · males_only · Logistics/Supply Chain · Operations/Management · Manufacturing/Production · Production Planning · Demand Planning & Forecasting · ERP · Production,/jobs/p/b5usm7tqqzk9-planning-supervisor-pyramid-poultry-sharqia-egypt,Not Mentioned,"Education: bachelor’s degree in a relevant field | Experience: more than 5 years of experience in production and material planning , preferred to be in feed industries. | Educational background of terms of planning “MPS ,MRP, and forecasting tools etc.…..” . | Experience in building and managing MRP systems using both of ERP systems and advanced Excel. | Ability to optimize stock levels and minimize waste, aligning with actual results ,and identifying deviation in material consumption and the root causes behind. | Strong communication skills to coordinate between Sales ,production, procurement, and warehouse teams. | Identify bottlenecks in the production process and propose solutions to enhance efficiency. | Ability to measure production KPI’s and reporting them periodically. | Daily- monthly and yearly reporting of production and sales performance comparing Budgeted figures."
1 month ago,Senior Application Support,Universities of Canada in Egypt -,"New Cairo, Cairo, Egypt ",Full TimeOn-siteEntry Level · 1 - 3 Yrs of Exp · Installation/Maintenance/Repair · IT/Software Development · Engineering - Telecom/Technology · Computer Science · English · Information Technology (IT) · Software Development · application · Communication skills · Engineering,/jobs/p/dqwbepau4lwv-senior-application-support-universities-of-canada-in-egypt-cairo-egypt,Not Mentioned,"Ticketing Systems:Proficiency with help desk software (Spiceworks). | Microsoft 365 package:Proficiency with Microsoft 365 software (Power App – Power Automate – Forms – Lists – etc...) | Education Software:Preferred to have knowledge of the education sector software like (Moodle – D2l – InfoCampus – etc..). | Advanced SQL:Expert proficiency in writing and optimizing complex queries, stored procedures, functions, and views for deep data analysis, performance tuning, and data manipulation. | Database Administration:Experience with database server management (e.g., MS SQL Server, MySQL) including monitoring, backup/recovery processes, capacity planning, and managing security permissions. | Performance Tuning:Ability to identify and resolve database bottlenecks such as slow-running queries, poorly constructed indexes, and high memory or CPU usage. | Website:knowledge of WordPress – CSS and able to support building or editing the Universities websites. | Scripting Languages:Proficiency in a practical scripting language like Python, HTML, PHP, (Shell), or PowerShell to develop utilities, automate routine checks, create automated self-healing solutions, and handle mass data updates. | Soft Skills:High level ofpatience, and clarityin communicating with users."
15 days ago,Oracle Developer (E-Business Suite).,Akhnaton Trading and distribution - EVA Group Limted -,"Cairo, Egypt ",Full TimeOn-siteExperienced · 2 - 4 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · PL/SQL · Oracle E-Business Suite · Oracle Reports · Oracle Forms · Oracle Workflow · SQL · Troubleshooting,/jobs/p/ibs7imtnyl6x-oracle-developer-e-business-suite-akhnaton-trading-and-distribution-eva-group-limted-cairo-egypt,Not Mentioned,"Bachelor’s degree in computer science, computer engineering, or any equivalent. | 2 - 4 years of experience as an Oracle Developer, using Oracle E-Business Suite reporting tools. | Excellent command in English . | Excellent using different Microsoft programs."
9 days ago,Financial Planning and analysis supervisor.,Orchidia Pharmaceutical Industries -,"Obour City, Cairo, Egypt ","Full TimeOn-siteExperienced · 3 - 7 Yrs of Exp · Accounting/Finance · Analyst/Research · analytical Skills · Planning · Financial Diagnosis · Analyzing Information · Statistical Analysis,",/jobs/p/sjn8f6ryday1-financial-planning-and-analysis-supervisor-orchidia-pharmaceutical-industries-cairo-egypt,Not Mentioned,"Bachelor’s Degree of commerce | Minimum 6 years’ experience | Excellent analytical Skills | FMVA is a plus | Excellent English, verbal / written communication | Ability to work well through others. | Excellent communication skills both verbal & written | Knowledge of analytical methods, procedures | Knowledge of information gathering techniques, procedures, and practices. | Knowledge of project planning and management procedures, practices, and techniques. | Ability to develop initiatives in innovative manner for effective resolution | .Reporting Skills, Informing Others. | Financial Skills, Forecasting, Corporate Finance, Financial Diagnosis, Financial Software, Analyzing Information , Statistical Analysis, Process Improvement, Financial Planning and Strategy"
19 days ago,Collections Operations Lead - Senior Manager - New Cairo,Genpact -,"New Cairo, Cairo, Egypt ",Full TimeOn-siteSenior Management · 12 - 20 Yrs of Exp · Accounting/Finance · Operations/Management · Finance · Accounts Payable · Accounting · Invoice Processing · Vendor Maintenance · Trade and Non-Trade (EDI & Non-EDI) · Intercompany Non Trade payments · T&E Processing,/jobs/p/fdfgtnhsqmpt-collections-operations-lead-senior-manager-new-cairo-genpact-cairo-egypt,Not Mentioned,"Minimum Qualification | Prior work experience - Manager experience | Excellent Leadership skills. Demonstrated experience in resource management, team performance management, recruitment and training | Proficient in using the MS Office package especially with MS Excel, PowerPoint, Outlook | Excellent communication, presentation skills, client management skills | Relevant AP/AR domain experience | Language level: Arabic C2, English C1 | Ability to help team members in problem area | Decision taking ability under tight deadlines | Ability to handle varied volumes of workloads and to meet targets and deadlines on timePreferred Qualification | Exposure to Six Sigma training preferred | Experience with international process transition would be added advantage | Experience in creating, implementing & driving Structured Action Plans"
2 months ago,Microsoft Dynamics 365 CRM Developer,Cubic Information Systems -,"New Cairo, Cairo, Egypt ",Full TimeOn-siteExperienced · 1 - 2 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Microsoft Dynamics 365 CRM · .NET Framework · C# Programming · Solution Customization · Technical Documentation · Problem Solving · System Integration · JavaScript,/jobs/p/n0jux0wsati6-microsoft-dynamics-365-crm-developer-cubic-information-systems-cairo-egypt,Not Mentioned,"Bachelor's degree in a relevant field (business, information technology, etc.). | 1–2 years experience as a Dynamics 365 CRM Functional Consultant or similar role. | Proficiency in configuring and customizing Dynamics 365 CRM. | Understanding of CRM modules such as Sales, Customer Service, and Marketing. | Strong programming skills in languages like C#, JavaScript, and .NET. | Knowledge of integration techniques, including RESTful APIs and middleware. | Understanding of database concepts and experience with SQL. | Strong communication and interpersonal skills to interact with clients and team members effectively. | Microsoft Certified: Dynamics 365 Customer Engagement Functional Consultant Associate or equivalent is a plus."
2 months ago,Software Engineer,Ur-Serv Business Development LLC -,"Mokattam, Cairo, Egypt ",Full TimeOn-siteExperienced · 1 - 3 Yrs of Exp · IT/Software Development · JavaScript · Software Development · Python · Problem Solving,/jobs/p/4kb9malvpske-software-engineer-ur-serv-business-development-llc-cairo-egypt,Not Mentioned,"Bachelor’s degree in Computer Science, Software Engineering, Information Technology, or a related field. | 1-3 years of professional experience in software engineering, development, or a related technical role. | Proficiency in at least one programming language such as Python, Java, C#, or JavaScript. | Experience with ERP systems (preferably Odoo) and their customization or integration. | Familiarity with web development frameworks and RESTful APIs. | Strong problem-solving skills and the ability to troubleshoot complex technical issues. | Excellent communication and collaboration abilities to work effectively in cross-functional teams. | Ability to manage multiple tasks and projects in a fast-paced, client-focused environment. | Understanding of software development life cycle (SDLC) and agile methodologies. | Willingness to learn new technologies and adapt to evolving project requirements | From 9AM to 5PM | 2 off days"
2 months ago,Research & Technology (R&T) Chemist - Application Lab,Eagle Chemicals -,"6th of October, Giza, Egypt ",Full TimeOn-siteExperienced · 2 - 5 Yrs of Exp · R&D/Science · Manufacturing/Production · Analyst/Research · Chemistry · Development · research and development · Research · Science · quality · Analysis,/jobs/p/i0kfo0mlcb4l-research-technology-rt-chemist-application-lab-eagle-chemicals-giza-egypt,Not Mentioned,"Bachelor’s degree in chemistry, Applied Chemistry or a related field. | Postgraduate studies are an advantage. | 2–5 years of experience in an application lab, R&T, or technical service role within a chemicals manufacturing environment. | Hands-on experience with formulation development and application testing. | Strong analytical and problem-solving skills. | Attention to detail and high level of accuracy. | Good communication and teamwork skills. | Customer-oriented mindset with the ability to translate technical results into practical solutions. | Ability to manage multiple projects and meet deadlines."
15 hours ago,.Net Developer,Daam  -,"Maadi, Cairo, Egypt ",Full TimeOn-siteExperienced · 3+ Yrs of Exp · IT/Software Development · .Net Development · .Net Framework · C# · SQL · SQL Server · HTML · CSS · JavaScript · AWS,/jobs/p/mxvylq5mhgqo-net-developer-daam-cairo-egypt,Not Mentioned,"Bachelor’s degree in Computer Science, Software Engineering, InformationTechnology, or a related field. | Equivalent combinations of education, certification, and relevant experiencemay be considered. | 3+ years of professional experience in software development with a focus on the .NET stack. | Proven experience in developing web applications using ASP.NET MVC and/orASP.NET Core. | Strong proficiency in C# and object-oriented programming. | Hands-on experience with SQL Server or similar relational databases. | Experience with front-end technologies (HTML, CSS, JavaScript). | Experience with cloud platforms (Google – GCP, Microsoft Azure, AWS). | Exposure to microservices architecture and containerization (Docker,Kubernetes). | Familiarity with Agile/Scrum methodologies. | Experience with version control systems (Git). | Knowledge of DevOps practices and CI/CD tools."
3 days ago,Research Associate,"United Arab Emirates University, Department of Family Medicine -","Dubai, United Arab Emirates ",Full TimeEntry Level · Marketing/PR/Advertising · Analyst/Research · Pharmaceutical · Research · Market Research · Marketing · Analysis · Pharmacy · English · Operations,/jobs/p/g/1tuydcs27gnx-research-associate-united-arab-emirates-university-department-of-family-medicine-dubai-united-arab-emirates,Not Mentioned,
2 months ago,Full Stack Developer,OrobaSoft -,"Cairo, Egypt ",Full TimeRemoteEntry Level · 1 - 3 Yrs of Exp · males_only · IT/Software Development · Engineering - Telecom/Technology · Full Stack · Software Development · Microservice Architecture · ASP.NET Core · JavaScript · Front-End Development · HTML · CSS,/jobs/p/y4ht3eq2o9wu-full-stack-developer-orobasoft-cairo-egypt,Not Mentioned,"Proven experience as a Junior Full Stack Developer or a similar role | Experience developing web applications | Familiarity with common technology stacks | Strong understanding of object-oriented programming (OOP) and computer science fundamentals | Familiarity with web servers and UI/UX design principles | Excellent communication and teamwork skills | Strong attention to detail | Good organizational skills | Analytical and problem-solving mindset | Experience developing web applications using ASP.NET Core with microservices | Proficiency in C#, HTML, CSS, JavaScript/jQuery, and Entity Framework | Experience with front-end frameworks such as ASP.NET Razor | Knowledge of database technologies, including SQL and NoSQL | Experience with version control systems (e.g., Git) | Understanding of software development methodologies and best practices | Bachelor’s degree in Computer Science, Engineering, or a related field (or equivalent work experience) | 1–3 years of experience in software development with a focus on ASP.NET"
10 days ago,Financial Planning & Analysis Specialist,Mersal  -,"Maadi, Cairo, Egypt ",Full TimeOn-siteExperienced · 3 - 5 Yrs of Exp · Accounting/Finance · Medical/Healthcare · Analyst/Research · Budgeting · Financial Analysis · Forecasting · Financial Planning · Planning & Analysis · Power BI · ERP systems,/jobs/p/mh4o9oabfl22-financial-planning-analysis-specialist-mersal-cairo-egypt,Not Mentioned,"Bachelor’s degree in Finance or Accounting. | 3–5 years of experience in Financial Planning & Analysis or a similar role. | Previous experience in healthcare or hospitals is highly preferred. | Strong financial analysis, forecasting, and reporting skills. | Advanced proficiency in Microsoft Excel. | Familiarity with Power BI is a strong advantage. | Experience working with ERP systems (Odoo is a plus). | Strong analytical thinking, attention to detail, and problem-solving skills."
2 months ago,Demand and supply planner food sector,Olio Food -,"Obour City, Cairo, Egypt ",Full TimeOn-siteExperienced · 4 - 6 Yrs of Exp · Operations/Management · Manufacturing/Production · Analyst/Research · Planning · Production · Production Planning · Supply Chain,/jobs/p/eiuc4kz5glob-demand-and-supply-planner-food-sector-olio-food-cairo-egypt,Not Mentioned,Bachelor degree from a relevant degree | Proven experience as production planner | Excellent knowledge of production planning and quality control principles | Experience in MRP II (Manufacturing resource planning) | Working knowledge of MS Office and ERP systems | Good at  statistics | Strong organizational and problem-solving skills | Excellent communication abilities | Should be resident near to Obour City
2 months ago,Financial Planning and analysis supervisor,Orchidia Pharmaceutical Industries -,"Obour City, Cairo, Egypt ","Full TimeOn-siteExperienced · 6 - 10 Yrs of Exp · Accounting/Finance · Analyst/Research · •	 Financial Skills · Forecasting · Corporate Finance · Analyzing Information · Statistical Analysis · Financial Planning",/jobs/p/a91vqikmvcal-financial-planning-and-analysis-supervisor-orchidia-pharmaceutical-industries-cairo-egypt,Not Mentioned,"Bachelor’s Degree of commerce | Minimum 6 years’ experience | Excellent analytical Skills | FMVA is a plus | Excellent English, verbal / written communication | Ability to work well through others. | Excellent communication skills both verbal & written | Knowledge of analytical methods, procedures | Knowledge of information gathering techniques, procedures, and practices. | Knowledge of project planning and management procedures, practices, and techniques. | Ability to develop initiatives in innovative manner for effective resolution | .Reporting Skills, Informing Others. | Financial Skills, Forecasting, Corporate Finance, Financial Diagnosis, Financial Software, Analyzing Information , Statistical Analysis, Process Improvement, Financial Planning and Strategy"
2 months ago,Performance Marketing Expert,Finasq -,"Riyadh, Saudi Arabia ",Full TimeEntry Level · Marketing/PR/Advertising · Analyst/Research · Media/Journalism/Publishing · Marketing · Digital Marketing · E-marketing · Social Media · SEO · Google Analytics · Online Marketing,/saudi/jobs/p/g/xfe5hquixjxx-performance-marketing-expert-finasq-riyadh-saudi-arabia,Not Mentioned,
2 months ago,BI Developer,Emdad Al Khebrat -,"Makkah, Saudi Arabia ",Full TimeEntry Level · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · Information Technology (IT) · Computer Science · SQL · BI · Software Development · Business Intelligence · Software Engineering,/saudi/jobs/p/g/mciocpgtjbrd-bi-developer-emdad-al-khebrat-makkah-saudi-arabia,Not Mentioned,
2 months ago,Agricultural Scientist (Remote),Nexus Consulting -,"Riyadh, Saudi Arabia ",Freelance / ProjectNot specified · IT/Software Development · Analyst/Research · Engineering - Other · agricultural engineering · business analysis · crops · engineering,/saudi/jobs/p/g/dxkbbx89mvzg-agricultural-scientist-remote-nexus-consulting-riyadh-saudi-arabia,Not Mentioned,
22 days ago,Associate Planner,Al Tayer Insignia -,"Dubai, United Arab Emirates ",Full TimeExperienced · Logistics/Supply Chain · Analyst/Research · Engineering - Mechanical/Electrical · supply chain · logistics · customer service · planning · sales · demand · analysis,/jobs/p/g/teht1m7maf6p-associate-planner-al-tayer-insignia-dubai-united-arab-emirates,Not Mentioned,
1 month ago,Research Assistant,"United Arab Emirates University, Department of Family Medicine -","Dubai, United Arab Emirates ",Full TimeEntry Level · Administration · Marketing/PR/Advertising · Analyst/Research · Research · Administration · Microsoft Office · Secretary · Office Management · Market Research · Communication Skills,/jobs/p/g/5kegvgazpic5-research-assistant-united-arab-emirates-university-department-of-family-medicine-dubai-united-arab-emirates,Not Mentioned,
14 days ago,Research Assistant - AI,"United Arab Emirates University, Department of Family Medicine -","Dubai, United Arab Emirates ",Full TimeEntry Level · Administration · Marketing/PR/Advertising · Analyst/Research · Research · Administration · Microsoft Office · Secretary · Office Management · Market Research · Communication Skills,/jobs/p/g/sowbbvfxwhbv-research-assistant-ai-united-arab-emirates-university-department-of-family-medicine-dubai-united-arab-emirates,Not Mentioned,
1 month ago,Postdoctoral Researcher in Computer Vision and Geospatial Analytics,IBM -,"Riyadh, Saudi Arabia ",Full TimeExperienced · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · computer science · information technology (it) · engineering · software development · research · computer engineering · python,/saudi/jobs/p/g/9oscwdexdwpu-postdoctoral-researcher-in-computer-vision-and-geospatial-analytics-ibm-riyadh-saudi-arabia,Not Mentioned,
13 days ago,Thermodynamics Engineer,WireHire -,"Dubai, United Arab Emirates ",Full TimeEntry Level · Installation/Maintenance/Repair · Analyst/Research · Engineering - Mechanical/Electrical · mechanical engineering · engineering · manufacturing · ansys · maintenance · energy · mechanical,/jobs/p/g/4hargn1ecyau-thermodynamics-engineer-wirehire-dubai-united-arab-emirates,Not Mentioned,
23 days ago,Research Assistant (Remote),Pulse Media -,"Dubai, United Arab Emirates ",Full TimeEntry Level · Administration · Marketing/PR/Advertising · Analyst/Research · Research · Administration · Microsoft Office · Secretary · Office Management · Market Research · Communication Skills,/jobs/p/g/dxnrsdy3ncmx-research-assistant-remote-pulse-media-dubai-united-arab-emirates,Not Mentioned,
2 hours ago,Finance / Accounting / Audit - With 10 Years of experience,JAL International Co. Ltd. -,"Riyadh, Saudi Arabia ",Freelance / ProjectNot specified · Accounting/Finance · Operations/Management · Quality · Finance · Accounting · Auditing · Financial Analysis · Financial Management · Commerce · Microsoft Office,/saudi/jobs/p/g/zrvdvhaxo6es-finance-accounting-audit-with-10-years-of-experience-jal-international-co-ltd-riyadh-saudi-arabia,Not Mentioned,
24 hours ago,Principal Full Stack Engineer - Cloud FinOps Platform,Dicetek LLC -,"Dubai, United Arab Emirates ",Freelance / ProjectExperienced · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · Information Technology (IT) · Computer Science · Software Development · Software Engineering · javaScript · Engineering · MySQL,/jobs/p/g/jk027ayaqrvk-principal-full-stack-engineer-cloud-finops-platform-dicetek-llc-dubai-united-arab-emirates,Not Mentioned,
19 days ago,Clinical Research Coordinator - (Onsite),IQVIA -,"Riyadh, Saudi Arabia ",Full TimeEntry Level · Administration · Medical/Healthcare · Analyst/Research · Research · Administration · Analysis · Medical · Pharmacy · Healthcare · Microsoft Office,/saudi/jobs/p/g/ychpji5uq66v-clinical-research-coordinator-onsite-iqvia-riyadh-saudi-arabia,Not Mentioned,
21 days ago,Cost Accountant - Offsite Warehouse,Wynn Al Marjan Island -,"Ras al-Khaimah, United Arab Emirates ",Full TimeEntry Level · Accounting/Finance · Logistics/Supply Chain · Analyst/Research · Finance · Accounting · Financial Analysis · Cost Accounting · Financial Management · Commerce · Microsoft Office,/jobs/p/g/ejachmnyfwlo-cost-accountant-offsite-warehouse-wynn-al-marjan-island-ras-al-khaimah-united-arab-emirates,Not Mentioned,
18 days ago,Postdoctoral Fellow,"United Arab Emirates University, Department of Family Medicine -","Dubai, United Arab Emirates ",Full TimeEntry Level · Analyst/Research · Engineering - Mechanical/Electrical · Engineering - Oil & Gas/Energy · cvs3 · etcc · energy · engineering · phd,/jobs/p/g/yclbtlulpppt-postdoctoral-fellow-united-arab-emirates-university-department-of-family-medicine-dubai-united-arab-emirates,Not Mentioned,
27 days ago,Oracle Functional Consultant,ParamInfo -,"Dubai, United Arab Emirates ",Full TimeExperienced · Accounting/Finance · IT/Software Development · Engineering - Telecom/Technology · Information Technology (IT) · Computer Science · Oracle · ERP · Accounting · Finance · SQL,/jobs/p/g/a0s2yxcgjwlb-oracle-functional-consultant-paraminfo-dubai-united-arab-emirates,Not Mentioned,
24 days ago,Sales Manager,Maids.cc - AI & Tech -,"Riyadh, Saudi Arabia ",Full TimeManager · Customer Service/Support · Operations/Management · Sales/Retail · Sales · Sales Skills · Sales Target · Customer Service · Management · Customer Support · Customer Care,/saudi/jobs/p/g/fcxyfzfkx20j-sales-manager-maids-cc-ai-tech-riyadh-saudi-arabia,Not Mentioned,
14 days ago,Finance & Accounting Officer,SITEC QUALITY GROUP -,"Dubai, United Arab Emirates ",Full TimeEntry Level · Accounting/Finance · Operations/Management · Analyst/Research · Finance · Accounting · Financial Analysis · Financial Management · Microsoft Office · Commerce · Microsoft Excel,/jobs/p/g/zzoyxf37lprn-finance-accounting-officer-sitec-quality-group-dubai-united-arab-emirates,Not Mentioned,
